CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
HAZARD,source,ENTITY,,ENTITY(s) that participate in causing this HAZARD
HAZARD,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HAZARD,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HAZARD,generatedAtTime,dateTime,,The time this entity was created and available for use
HAZARD,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HAZARD,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
HAZARD,title,string,,"A short, human-readable identifying label."
HAZARD,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
HAZARD,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
HAZARD,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
HAZARD,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
HAZARD,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
HAZARD_IDENTIFICATION,,,,ACTIVITY that identifies potential sources of HAZARD whose risk must be evaluated
HAZARD_IDENTIFICATION,author,AGENT,,AGENT(s) who work on this ACTIVITY
HAZARD_IDENTIFICATION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HAZARD_IDENTIFICATION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HAZARD_IDENTIFICATION,endedAtTime,dateTime,,The time an activity was ended
HAZARD_IDENTIFICATION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HAZARD_IDENTIFICATION,startedAtTime,dateTime,,The time an activity was started
HAZARD_IDENTIFICATION,title,string,,"A short, human-readable identifying label."
HAZARD_IDENTIFICATION,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
HAZARD_IDENTIFICATION,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
HAZARD_IDENTIFICATION,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
OBJECTIVE,,,,An OBJECTIVE identifies tasks from a process for which evidence must be provided to show that the task has been completed. 
OBJECTIVE,fileParent,FILE,,The file an ENTITY is defined in
OBJECTIVE,satisfiedBy,ACTIVITY,,An ACTIVITY that demonstrates that the OBJECTIVE has been satisfied.
OBJECTIVE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
OBJECTIVE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
OBJECTIVE,generatedAtTime,dateTime,,The time this entity was created and available for use
OBJECTIVE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
OBJECTIVE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
OBJECTIVE,title,string,,"A short, human-readable identifying label."
OBJECTIVE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
OBJECTIVE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
OBJECTIVE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
OBJECTIVE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
OBJECTIVE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ACTIVITY,,,,"An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities."
ACTIVITY,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ACTIVITY,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ACTIVITY,endedAtTime,dateTime,,The time an activity was ended
ACTIVITY,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ACTIVITY,startedAtTime,dateTime,,The time an activity was started
ACTIVITY,title,string,,"A short, human-readable identifying label."
ACTIVITY,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
ACTIVITY,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
ACTIVITY,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
AGENT,,,,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity."
AGENT,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
AGENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
AGENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
AGENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
AGENT,title,string,,"A short, human-readable identifying label."
COLLECTION,,,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
COLLECTION,fileParent,FILE,,The file an ENTITY is defined in
COLLECTION,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
COLLECTION,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
COLLECTION,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
COLLECTION,generatedAtTime,dateTime,,The time this entity was created and available for use
COLLECTION,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
COLLECTION,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
COLLECTION,title,string,,"A short, human-readable identifying label."
COLLECTION,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
COLLECTION,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
COLLECTION,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
COLLECTION,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
COLLECTION,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ENTITY,,,,"An entity is a physical, digital, conceptual, or other kind of thing with some fixed aspects; entities may be real or imaginary."
ENTITY,fileParent,FILE,,The file an ENTITY is defined in
ENTITY,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ENTITY,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ENTITY,generatedAtTime,dateTime,,The time this entity was created and available for use
ENTITY,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ENTITY,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ENTITY,title,string,,"A short, human-readable identifying label."
ENTITY,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ENTITY,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ENTITY,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ENTITY,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ENTITY,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
THING,,,,A piece of data stored in RACK
THING,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
THING,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
THING,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
THING,title,string,,"A short, human-readable identifying label."
DATA_DICTIONARY_TERM,,,,Defines some conceptual data that may be collected somewhere and used somewhere else
DATA_DICTIONARY_TERM,fileParent,FILE,,The file an ENTITY is defined in
DATA_DICTIONARY_TERM,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DATA_DICTIONARY_TERM,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DATA_DICTIONARY_TERM,generatedAtTime,dateTime,,The time this entity was created and available for use
DATA_DICTIONARY_TERM,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DATA_DICTIONARY_TERM,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DATA_DICTIONARY_TERM,title,string,,"A short, human-readable identifying label."
DATA_DICTIONARY_TERM,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DATA_DICTIONARY_TERM,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DATA_DICTIONARY_TERM,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
DATA_DICTIONARY_TERM,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DATA_DICTIONARY_TERM,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DATA_DICTIONARY_TERM,consumedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that consumes this information
DATA_DICTIONARY_TERM,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
DATA_DICTIONARY_TERM,providedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that provides this information
DATA_DICTIONARY_TERM,text (SHARED PROPERTY),string,,Description of the term ; Description of the REQUIREMENT (SHARED PROPERTY)
REQUIREMENT,,,,Captures (both high- and low-level) properties of a process or artifact that are to be assessed
REQUIREMENT,fileParent,FILE,,The file an ENTITY is defined in
REQUIREMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REQUIREMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REQUIREMENT,generatedAtTime,dateTime,,The time this entity was created and available for use
REQUIREMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REQUIREMENT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REQUIREMENT,title,string,,"A short, human-readable identifying label."
REQUIREMENT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REQUIREMENT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REQUIREMENT,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
REQUIREMENT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REQUIREMENT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REQUIREMENT,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
REQUIREMENT,givenText,string,,optional part that can be used to set certain conditions apart from other conditions in the ifText part
REQUIREMENT,governs,ENTITY,,ENTITY(s) that are the subject of the requirement
REQUIREMENT,ifText,string,,conditions under which this requirement holds
REQUIREMENT,mitigates,ENTITY,,ENTITY(s) (e.g. HAZARD) that is being mitigated by this REQUIREMENT
REQUIREMENT,satisfies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this REQUIREMENT is derived from
REQUIREMENT,text (SHARED PROPERTY),string,,Description of the term ; Description of the REQUIREMENT (SHARED PROPERTY)
REQUIREMENT,thenText,string,,specifies what should hold by this requirement if the requirement conditions are met
REQUIREMENT_DEVELOPMENT,,,,ACTIVITY that produces REQUIREMENTs
REQUIREMENT_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REQUIREMENT_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REQUIREMENT_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
REQUIREMENT_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REQUIREMENT_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
REQUIREMENT_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
REQUIREMENT_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
REQUIREMENT_DEVELOPMENT,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
REQUIREMENT_DEVELOPMENT,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
REQUIREMENT_DEVELOPMENT,author,AGENT,,AGENT(s) responsible for producing a REQUIREMENT
REQUIREMENT_DEVELOPMENT,governedBy,ENTITY,,"ENTITY(s) (e.g. REQUIREMENTS, any sort of document) used during this ACTIVITY"
REQUIREMENT_DEVELOPMENT,referenced,ENTITY,,Source materials (requirement and design docs) used during development
REVIEW,,,,Code review ACTIVITY
REVIEW,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REVIEW,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REVIEW,endedAtTime,dateTime,,The time an activity was ended
REVIEW,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REVIEW,startedAtTime,dateTime,,The time an activity was started
REVIEW,title,string,,"A short, human-readable identifying label."
REVIEW,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
REVIEW,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
REVIEW,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
REVIEW,author,AGENT,,AGENT(s) putting items up for review
REVIEW,governedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) used for performing the review
REVIEW,reviewed,ENTITY,,ENTITY(s) being reviewed
REVIEW,reviewer,AGENT,,AGENT(s) performing the review
REVIEW_LOG,,,,Outcome of a REVIEW ACTIVITY
REVIEW_LOG,fileParent,FILE,,The file an ENTITY is defined in
REVIEW_LOG,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REVIEW_LOG,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REVIEW_LOG,generatedAtTime,dateTime,,The time this entity was created and available for use
REVIEW_LOG,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REVIEW_LOG,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
REVIEW_LOG,title,string,,"A short, human-readable identifying label."
REVIEW_LOG,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
REVIEW_LOG,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
REVIEW_LOG,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
REVIEW_LOG,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
REVIEW_LOG,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
REVIEW_LOG,createBy,ACTIVITY,,ACTIVITY(s) (e.g. REVIEW) that created this log
REVIEW_LOG,reviewResult,REVIEW_STATE,,Review status descriptor
REVIEW_LOG,reviews,ENTITY,,ENTITY(s) that the review was performed on
REVIEW_STATE,,"enumeration: [http://arcos.rack/REVIEW#Passed, http://arcos.rack/REVIEW#ReviseWithoutReview, http://arcos.rack/REVIEW#ReviseWithReview]",,Life-cycle status of a review log
REVIEW_STATE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
REVIEW_STATE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
REVIEW_STATE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
REVIEW_STATE,title,string,,"A short, human-readable identifying label."
ARGUMENT_PACKAGE,,,,"Argument Package is the containing element for a structured argument represented using the SACM Argumentation
Metamodel."
ARGUMENT_PACKAGE,fileParent,FILE,,The file an ENTITY is defined in
ARGUMENT_PACKAGE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ARGUMENT_PACKAGE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ARGUMENT_PACKAGE,generatedAtTime,dateTime,,The time this entity was created and available for use
ARGUMENT_PACKAGE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ARGUMENT_PACKAGE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ARGUMENT_PACKAGE,title,string,,"A short, human-readable identifying label."
ARGUMENT_PACKAGE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ARGUMENT_PACKAGE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ARGUMENT_PACKAGE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ARGUMENT_PACKAGE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ARGUMENT_PACKAGE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ARGUMENT_PACKAGE,argumentationElement,ENTITY,,
ARGUMENT_REASONING,,,,Argument Reasoning can be used to provide additional description or explanation of the asserted relationship.
ARGUMENT_REASONING,fileParent,FILE,,The file an ENTITY is defined in
ARGUMENT_REASONING,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ARGUMENT_REASONING,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ARGUMENT_REASONING,generatedAtTime,dateTime,,The time this entity was created and available for use
ARGUMENT_REASONING,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ARGUMENT_REASONING,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ARGUMENT_REASONING,title,string,,"A short, human-readable identifying label."
ARGUMENT_REASONING,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ARGUMENT_REASONING,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ARGUMENT_REASONING,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ARGUMENT_REASONING,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ARGUMENT_REASONING,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ARTIFACT_REFERENCE,,,,Artifact Reference enables the citation of an artifact as information that relates to the structured argument.
ARTIFACT_REFERENCE,fileParent,FILE,,The file an ENTITY is defined in
ARTIFACT_REFERENCE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ARTIFACT_REFERENCE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ARTIFACT_REFERENCE,generatedAtTime,dateTime,,The time this entity was created and available for use
ARTIFACT_REFERENCE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ARTIFACT_REFERENCE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ARTIFACT_REFERENCE,title,string,,"A short, human-readable identifying label."
ARTIFACT_REFERENCE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ARTIFACT_REFERENCE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ARTIFACT_REFERENCE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ARTIFACT_REFERENCE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ARTIFACT_REFERENCE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ASSERTED_CONTEXT,,,,"Asserted Context can be used to declare that the artifact cited by an ArtifactReference(s) provides the context for the
interpretation and scoping of a Claim or ArgumentReasoning element."
ASSERTED_CONTEXT,fileParent,FILE,,The file an ENTITY is defined in
ASSERTED_CONTEXT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ASSERTED_CONTEXT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ASSERTED_CONTEXT,generatedAtTime,dateTime,,The time this entity was created and available for use
ASSERTED_CONTEXT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ASSERTED_CONTEXT,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ASSERTED_CONTEXT,title,string,,"A short, human-readable identifying label."
ASSERTED_CONTEXT,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ASSERTED_CONTEXT,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ASSERTED_CONTEXT,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ASSERTED_CONTEXT,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ASSERTED_CONTEXT,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ASSERTED_CONTEXT,source (SHARED PROPERTY),ENTITY,,
ASSERTED_CONTEXT,target (SHARED PROPERTY),ENTITY,,
ASSERTED_INFERENCE,,,,"Asserted Inference association records the inference that a user declares to exist between one or more Assertion (premise) and
another Assertion (conclusion)."
ASSERTED_INFERENCE,fileParent,FILE,,The file an ENTITY is defined in
ASSERTED_INFERENCE,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ASSERTED_INFERENCE,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ASSERTED_INFERENCE,generatedAtTime,dateTime,,The time this entity was created and available for use
ASSERTED_INFERENCE,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ASSERTED_INFERENCE,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ASSERTED_INFERENCE,title,string,,"A short, human-readable identifying label."
ASSERTED_INFERENCE,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ASSERTED_INFERENCE,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ASSERTED_INFERENCE,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
ASSERTED_INFERENCE,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ASSERTED_INFERENCE,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ASSERTED_INFERENCE,reasoning,ENTITY,,
ASSERTED_INFERENCE,source (SHARED PROPERTY),ENTITY,,
ASSERTED_INFERENCE,target (SHARED PROPERTY),ENTITY,,
CLAIM,,,,Claims are used to record the propositions of any structured argument contained in an Argument Package.
CLAIM,fileParent,FILE,,The file an ENTITY is defined in
CLAIM,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CLAIM,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CLAIM,generatedAtTime,dateTime,,The time this entity was created and available for use
CLAIM,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CLAIM,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
CLAIM,title,string,,"A short, human-readable identifying label."
CLAIM,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
CLAIM,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
CLAIM,wasGeneratedBy,ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.
CLAIM,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
CLAIM,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
BUILD,,,,"Describes a set of ACTIVITYs (e.g. CODE_GEN, COMPILE, ...) that together form some logical building unit"
BUILD,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
BUILD,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
BUILD,endedAtTime,dateTime,,The time an activity was ended
BUILD,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
BUILD,startedAtTime,dateTime,,The time an activity was started
BUILD,title,string,,"A short, human-readable identifying label."
BUILD,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
BUILD,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
BUILD,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
BUILD,step,ACTIVITY,,A BUILD may be comprised of any number of sub-ACTIVITY(s)
CODE_DEVELOPMENT,,,,An ACTIVITY that produces source code FILEs
CODE_DEVELOPMENT,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
CODE_DEVELOPMENT,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
CODE_DEVELOPMENT,endedAtTime,dateTime,,The time an activity was ended
CODE_DEVELOPMENT,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
CODE_DEVELOPMENT,startedAtTime,dateTime,,The time an activity was started
CODE_DEVELOPMENT,title,string,,"A short, human-readable identifying label."
CODE_DEVELOPMENT,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
