identifier,wasImpactedBy_identifier
CAPEC-71,CWE-173
CAPEC-71,CWE-172
CAPEC-71,CWE-184
CAPEC-71,CWE-183
CAPEC-71,CWE-74
CAPEC-71,CWE-20
CAPEC-71,CWE-697
CAPEC-71,CWE-692
CAPEC-72,CWE-173
CAPEC-72,CWE-177
CAPEC-72,CWE-172
CAPEC-72,CWE-73
CAPEC-72,CWE-74
CAPEC-72,CWE-20
CAPEC-73,CWE-20
CAPEC-73,CWE-184
CAPEC-73,CWE-96
CAPEC-73,CWE-348
CAPEC-73,CWE-116
CAPEC-73,CWE-350
CAPEC-73,CWE-86
CAPEC-73,CWE-697
CAPEC-74,CWE-372
CAPEC-74,CWE-315
CAPEC-74,CWE-353
CAPEC-74,CWE-693
CAPEC-74,CWE-1245
CAPEC-74,CWE-1253
CAPEC-74,CWE-1265
CAPEC-74,CWE-1271
CAPEC-75,CWE-349
CAPEC-75,CWE-99
CAPEC-75,CWE-77
CAPEC-75,CWE-346
CAPEC-75,CWE-353
CAPEC-75,CWE-354
CAPEC-76,CWE-23
CAPEC-76,CWE-22
CAPEC-76,CWE-73
CAPEC-76,CWE-77
CAPEC-76,CWE-346
CAPEC-76,CWE-348
CAPEC-76,CWE-285
CAPEC-76,CWE-272
CAPEC-76,CWE-59
CAPEC-76,CWE-74
CAPEC-76,CWE-15
CAPEC-77,CWE-15
CAPEC-77,CWE-94
CAPEC-77,CWE-96
CAPEC-77,CWE-285
CAPEC-77,CWE-302
CAPEC-77,CWE-473
CAPEC-77,CWE-1321
CAPEC-78,CWE-180
CAPEC-78,CWE-181
CAPEC-78,CWE-173
CAPEC-78,CWE-172
CAPEC-78,CWE-73
CAPEC-78,CWE-22
CAPEC-78,CWE-74
CAPEC-78,CWE-20
CAPEC-78,CWE-697
CAPEC-78,CWE-707
CAPEC-79,CWE-173
CAPEC-79,CWE-180
CAPEC-79,CWE-181
CAPEC-79,CWE-20
CAPEC-79,CWE-74
CAPEC-79,CWE-73
CAPEC-79,CWE-22
CAPEC-79,CWE-185
CAPEC-79,CWE-200
CAPEC-79,CWE-697
CAPEC-79,CWE-707
CAPEC-8,CWE-120
CAPEC-8,CWE-119
CAPEC-8,CWE-118
CAPEC-8,CWE-74
CAPEC-8,CWE-20
CAPEC-8,CWE-680
CAPEC-8,CWE-733
CAPEC-8,CWE-697
CAPEC-80,CWE-173
CAPEC-80,CWE-172
CAPEC-80,CWE-180
CAPEC-80,CWE-181
CAPEC-80,CWE-73
CAPEC-80,CWE-74
CAPEC-80,CWE-20
CAPEC-80,CWE-697
CAPEC-80,CWE-692
CAPEC-81,CWE-117
CAPEC-81,CWE-93
CAPEC-81,CWE-75
CAPEC-81,CWE-221
CAPEC-81,CWE-96
CAPEC-81,CWE-20
CAPEC-81,CWE-150
CAPEC-81,CWE-276
CAPEC-81,CWE-279
CAPEC-81,CWE-116
CAPEC-83,CWE-91
CAPEC-83,CWE-74
CAPEC-83,CWE-20
CAPEC-83,CWE-707
CAPEC-84,CWE-74
CAPEC-84,CWE-707
CAPEC-85,CWE-79
CAPEC-85,CWE-113
CAPEC-85,CWE-348
CAPEC-85,CWE-96
CAPEC-85,CWE-20
CAPEC-85,CWE-116
CAPEC-85,CWE-184
CAPEC-85,CWE-86
CAPEC-85,CWE-692
CAPEC-86,CWE-80
CAPEC-87,CWE-425
CAPEC-87,CWE-285
CAPEC-87,CWE-693
CAPEC-88,CWE-78
CAPEC-88,CWE-88
CAPEC-88,CWE-20
CAPEC-88,CWE-697
CAPEC-89,CWE-346
CAPEC-89,CWE-350
CAPEC-9,CWE-120
CAPEC-9,CWE-118
CAPEC-9,CWE-119
CAPEC-9,CWE-74
CAPEC-9,CWE-20
CAPEC-9,CWE-680
CAPEC-9,CWE-733
CAPEC-9,CWE-697
CAPEC-90,CWE-301
CAPEC-90,CWE-303
CAPEC-92,CWE-190
CAPEC-92,CWE-128
CAPEC-92,CWE-120
CAPEC-92,CWE-122
CAPEC-92,CWE-196
CAPEC-92,CWE-680
CAPEC-92,CWE-697
CAPEC-93,CWE-117
CAPEC-93,CWE-75
CAPEC-93,CWE-150
CAPEC-94,CWE-300
CAPEC-94,CWE-290
CAPEC-94,CWE-593
CAPEC-94,CWE-287
CAPEC-94,CWE-294
CAPEC-95,CWE-538
CAPEC-96,CWE-589
CAPEC-97,CWE-327
CAPEC-97,CWE-1204
CAPEC-97,CWE-1240
CAPEC-97,CWE-1241
CAPEC-97,CWE-1279
