identifier,description
CWE-532,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.
CWE-540,Source code on a web server or repository often contains sensitive information and should generally not be accessible to users.
CWE-544,"The software does not use a standardized method for handling errors throughout the code, which might introduce inconsistent error handling and resultant weaknesses."
CWE-546,"The code contains comments that suggest the presence of bugs, incomplete functionality, or weaknesses."
CWE-547,"The program uses hard-coded constants instead of symbolic names for security-critical values, which increases the likelihood of mistakes during code maintenance or security policy change."
CWE-549,"The software does not mask passwords during entry, increasing the potential for attackers to observe and capture passwords."
CWE-551,"If a web server does not fully parse requested URLs before it examines them for authorization, it may be possible for an attacker to bypass authorization protection."
CWE-561,"The software contains dead code, which can never be executed."
CWE-562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash."
CWE-563,"The variable's value is assigned but never used, making it a dead store."
CWE-565,"The application relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user."
CWE-567,"The product does not properly synchronize shared data, such as static variables across threads, which can lead to undefined behavior and unpredictable data changes."
CWE-570,The software contains an expression that will always evaluate to false.
CWE-571,The software contains an expression that will always evaluate to true.
CWE-580,The software contains a clone() method that does not call super.clone() to obtain the new object.
CWE-581,The software does not maintain equal hashcodes for equal objects.
CWE-584,"The code has a return statement inside a finally block, which will cause any thrown exception in the try block to be discarded."
CWE-585,The software contains an empty synchronized block.
CWE-586,The software makes an explicit call to the finalize() method from outside the finalizer.
CWE-587,The software sets a pointer to a specific address other than NULL or 0.
CWE-588,Casting a non-structure type to a structure type and accessing a field can lead to memory access errors or data corruption.
CWE-59,"The software attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource."
CWE-595,"The program compares object references instead of the contents of the objects themselves, preventing it from detecting equivalent objects."
CWE-597,"The product uses the wrong operator when comparing a string, such as using == when the .equals() method should be used instead."
CWE-600,"The Servlet does not catch all exceptions, which may reveal sensitive debugging information."
CWE-601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks."
CWE-603,"A client/server product performs authentication within client code but not in server code, allowing server-side authentication to be bypassed via a modified client that omits the authentication check."
CWE-605,"When multiple sockets are allowed to bind to the same port, other services on that port may be stolen or spoofed."
CWE-606,"The product does not properly check inputs that are used for loop conditions, potentially leading to a denial of service or other consequences because of excessive looping."
CWE-609,"The program uses double-checked locking to access a resource without the overhead of explicit synchronization, but the locking is insufficient."
CWE-611,"The software processes an XML document that can contain XML entities with URIs that resolve to documents outside of the intended sphere of control, causing the product to embed incorrect documents into its output."
CWE-612,"The product creates a search index of private or sensitive documents, but it does not properly limit index access to actors who are authorized to see the original information."
CWE-613,"According to WASC, Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization."
CWE-617,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary."
CWE-618,"An ActiveX control is intended for use in a web browser, but it exposes dangerous methods that perform actions that are outside of the browser's security model (e.g. the zone or domain)."
CWE-619,"If a database cursor is not closed properly, then it could become accessible to other users while retaining the same privileges that were originally assigned, leaving the cursor dangling."
CWE-620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication."
CWE-621,"The product uses external input to determine the names of variables into which information is extracted, without verifying that the names of the specified variables are valid. This could cause the program to overwrite unintended variables."
CWE-624,"The product uses a regular expression that either (1) contains an executable component with user-controlled inputs, or (2) allows a user to enable execution by inserting pattern modifiers."
CWE-625,The product uses a regular expression that does not sufficiently restrict the set of allowed values.
CWE-627,"In a language where the user can influence the name of a variable at runtime, if the variable names are not controlled, an attacker can read or write to arbitrary variables, or access arbitrary functions."
CWE-628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses."
CWE-639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.
CWE-640,"The software contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak."
CWE-641,"The application constructs the name of a file or other resource using input from an upstream component, but it does not restrict or incorrectly restricts the resulting name."
CWE-643,"The software uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."
CWE-645,"The software contains an account lockout protection mechanism, but the mechanism is too restrictive and can be triggered too easily, which allows attackers to deny service to legitimate users by causing their accounts to be locked out."
CWE-648,The application does not conform to the API requirements for a function call that requires extra privileges. This could allow attackers to gain privileges by causing the function to be called incorrectly.
CWE-649,"The software uses obfuscation or encryption of inputs that should not be mutable by an external actor, but the software does not use integrity checks to detect if those inputs have been modified."
CWE-652,"The software uses external input to dynamically construct an XQuery expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query."
CWE-66,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file."
CWE-663,The software calls a non-reentrant function in a concurrent context in which a competing code sequence (e.g. thread or signal handler) may have an opportunity to call the same function or otherwise influence its state.
CWE-676,"The program invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely."
CWE-681,"When converting from one data type to another, such as long to integer, data can be omitted or translated in a way that produces unexpected values. If the resulting values are used in a sensitive context, then dangerous behaviors may occur."
CWE-694,"The software uses multiple resources that can have the same identifier, in a context in which unique identifiers are required."
CWE-695,The software uses low-level functionality that is explicitly prohibited by the framework or specification under which the software is supposed to operate.
CWE-698,"The web application sends a redirect to another location, but instead of exiting, it executes additional code."
CWE-708,"The software assigns an owner to a resource, but the owner is outside of the intended control sphere."
CWE-73,The software allows user input to control or influence paths or file names that are used in filesystem operations.
CWE-733,"The developer builds a security-critical protection mechanism into the software, but the compiler optimizes the program such that the mechanism is removed or modified."
CWE-749,"The software provides an Applications Programming Interface (API) or similar interface for interaction with external actors, but the interface includes a dangerous method or function that is not properly restricted."
CWE-756,"The software does not return custom error pages to the user, possibly exposing sensitive information."
CWE-76,"The software properly neutralizes certain special elements, but it improperly neutralizes equivalent special elements."
CWE-763,"The application attempts to return a memory resource to the system, but calls the wrong release function or calls the appropriate release function incorrectly."
CWE-764,"The software locks a critical resource more times than intended, leading to an unexpected state in the system."
CWE-765,"The software unlocks a critical resource more times than intended, leading to an unexpected state in the system."
CWE-766,"The software declares a critical variable, field, or member to be public when intended security policy requires it to be private."
CWE-767,The software defines a public method that reads or modifies a private variable.
CWE-770,"The software allocates a reusable resource or group of resources on behalf of an actor without imposing any restrictions on the size or number of resources that can be allocated, in violation of the intended security policy for that actor."
CWE-771,"The software does not properly maintain a reference to a resource that has been allocated, which prevents the resource from being reclaimed."
CWE-772,"The software does not release a resource after its effective lifetime has ended, i.e., after the resource is no longer needed."
CWE-776,"The software uses XML documents and allows their structure to be defined with a Document Type Definition (DTD), but it does not properly control the number of recursive definitions of entities."
CWE-778,"When a security-critical event occurs, the software either does not record the event or omits important details about the event when logging it."
CWE-779,"The software logs too much information, making log files hard to process and possibly hindering recovery efforts or forensic analysis after an attack."
CWE-78,"The software constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
CWE-783,The program uses an expression in which operator precedence causes incorrect logic to be used.
CWE-786,The software reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.
CWE-787,"The software writes data past the end, or before the beginning, of the intended buffer."
CWE-788,The software reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.
CWE-79,The software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
CWE-791,"The software receives data from an upstream component, but does not completely filter special elements before sending it to a downstream component."
CWE-795,"The software receives data from an upstream component, but only accounts for special elements at a specified location, thereby missing remaining special elements that may exist before sending it to a downstream component."
CWE-798,"The software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
CWE-804,"The software uses a CAPTCHA challenge, but the challenge can be guessed or automatically recognized by a non-human actor."
CWE-805,"The software uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer."
CWE-820,The software utilizes a shared resource in a concurrent manner but does not attempt to synchronize access to the resource.
CWE-821,"The software utilizes a shared resource in a concurrent manner, but it does not correctly synchronize access to the resource."
CWE-822,"The program obtains a value from an untrusted source, converts this value to a pointer, and dereferences the resulting pointer."
CWE-823,"The program performs pointer arithmetic on a valid pointer, but it uses an offset that can point outside of the intended range of valid memory locations for the resulting pointer."
CWE-824,The program accesses or uses a pointer that has not been initialized.
CWE-825,"The program dereferences a pointer that contains a location for memory that was previously valid, but is no longer valid."
CWE-826,The program releases a resource that is still intended to be used by the program itself or another actor.
CWE-828,"The software defines a signal handler that contains code sequences that are not asynchronous-safe, i.e., the functionality is not reentrant, or it can be interrupted."
CWE-829,"The software imports, requires, or includes executable functionality (such as a library) from a source that is outside of the intended control sphere."
CWE-831,The software defines a function that is used as a handler for more than one signal.
CWE-832,The software attempts to unlock a resource that is not locked.
CWE-833,"The software contains multiple threads or executable segments that are waiting for each other to release a necessary lock, resulting in deadlock."
CWE-835,"The program contains an iteration or loop with an exit condition that cannot be reached, i.e., an infinite loop."
CWE-836,"The software records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store."
CWE-837,"The software requires that an actor should only be able to perform an action once, or to have only one unique action, but the software does not enforce or improperly enforces this restriction."
CWE-838,"The software uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component."
CWE-839,"The program checks a value to ensure that it is less than or equal to a maximum, but it does not also verify that the value is greater than or equal to the minimum."
CWE-841,"The software supports a session in which more than one behavior must be performed by an actor, but it does not properly ensure that the actor performs the behaviors in the required sequence."
CWE-842,The software or the administrator places a user into an incorrect group.
CWE-843,"The program allocates or initializes a resource such as a pointer, object, or variable using one type, but it later accesses that resource using a type that is incompatible with the original type."
CWE-88,"The software constructs a string for a command to executed by a separate component in another control sphere, but it does not properly delimit the intended arguments, options, or switches within that command string."
CWE-89,"The software constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
CWE-90,"The software constructs all or part of an LDAP query using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended LDAP query when it is sent to a downstream component."
CWE-908,The software uses or accesses a resource that has not been initialized.
CWE-909,The software does not initialize a critical resource.
CWE-91,"The software does not properly neutralize special elements that are used in XML, allowing attackers to modify the syntax, content, or commands of the XML before it is processed by an end system."
CWE-910,The software uses or accesses a file descriptor after it has been closed.
CWE-911,"The software uses a reference count to manage a resource, but it does not update or incorrectly updates the reference count."
CWE-914,The software does not properly restrict reading from or writing to dynamically-identified variables.
CWE-915,"The software receives input from an upstream component that specifies multiple attributes, properties, or fields that are to be initialized or updated in an object, but it does not properly control which attributes can be modified."
CWE-916,"The software generates a hash for a password, but it uses a scheme that does not provide a sufficient level of computational effort that would make password cracking attacks infeasible or expensive."
CWE-917,"The software constructs all or part of an expression language (EL) statement in a Java Server Page (JSP) using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed."
CWE-920,"The software operates in an environment in which power is a limited resource that cannot be automatically replenished, but the software does not properly restrict the amount of power that its operation consumes."
CWE-921,The software stores sensitive information in a file system or device that does not have built-in access control.
CWE-924,"The software establishes a communication channel with an endpoint and receives a message from that endpoint, but it does not sufficiently ensure that the message was not modified during transmission."
CWE-93,"The software uses CRLF (carriage return line feeds) as a special element, e.g. to separate lines or records, but it does not neutralize or incorrectly neutralizes CRLF sequences from inputs."
CWE-939,"The software uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme."
CWE-94,"The software constructs all or part of a code segment using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the syntax or behavior of the intended code segment."
CWE-940,"The software establishes a communication channel to handle an incoming request that has been initiated by an actor, but it does not properly verify that the request is coming from the expected origin."
CWE-941,"The software creates a communication channel to initiate an outgoing request to an actor, but it does not correctly specify the intended destination for that actor."
CWE-96,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes code syntax before inserting the input into an executable resource, such as a library, configuration file, or template."
