source,identifier,title,description
ACERT,CWE-229,CWE-229 (Improper Handling of Values) is present in a module,"The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined."
ACERT,CWE-230,CWE-230 (Improper Handling of Missing Values) is present in a module,"The software does not handle or incorrectly handles when a parameter, field, or argument name is specified, but the associated value is missing, i.e. it is empty, blank, or null."
ACERT,CWE-231,CWE-231 (Improper Handling of Extra Values) is present in a module,The software does not handle or incorrectly handles when more values are provided than expected.
ACERT,CWE-232,CWE-232 (Improper Handling of Undefined Values) is present in a module,"The software does not handle or incorrectly handles when a value is not defined or supported for the associated parameter, field, or argument name."
ACERT,CWE-233,CWE-233 (Improper Handling of Parameters) is present in a module,"The software does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined."
ACERT,CWE-234,CWE-234 (Failure to Handle Missing Parameter) is present in a module,"If too few arguments are sent to a function, the function will still pop the expected number of arguments from the stack. Potentially, a variable number of arguments could be exhausted in a function as well."
ACERT,CWE-235,CWE-235 (Improper Handling of Extra Parameters) is present in a module,"The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount."
ACERT,CWE-236,CWE-236 (Improper Handling of Undefined Parameters) is present in a module,"The software does not handle or incorrectly handles when a particular parameter, field, or argument name is not defined or supported by the product."
ACERT,CWE-237,CWE-237 (Improper Handling of Structural Elements) is present in a module,The software does not handle or incorrectly handles inputs that are related to complex structures.
ACERT,CWE-238,CWE-238 (Improper Handling of Incomplete Structural Elements) is present in a module,The software does not handle or incorrectly handles when a particular structural element is not completely specified.
ACERT,CWE-239,CWE-239 (Failure to Handle Incomplete Element) is present in a module,The software does not properly handle when a particular element is not completely specified.
ACERT,CWE-240,CWE-240 (Improper Handling of Inconsistent Structural Elements) is present in a module,"The software does not handle or incorrectly handles when two or more structural elements should be consistent, but are not."
ACERT,CWE-241,CWE-241 (Improper Handling of Unexpected Data Type) is present in a module,"The software does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z)."
ACERT,CWE-242,CWE-242 (Use of Inherently Dangerous Function) is present in a module,The program calls a function that can never be guaranteed to work safely.
ACERT,CWE-243,CWE-243 (Creation of chroot Jail Without Changing Working Directory) is present in a module,"The program uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail."
ACERT,CWE-244,CWE-244 (Improper Clearing of Heap Memory Before Release ('Heap Inspection')) is present in a module,"Using realloc() to resize buffers that store sensitive information can leave the sensitive information exposed to attack, because it is not removed from memory."
ACERT,CWE-245,CWE-245 (J2EE Bad Practices: Direct Management of Connections) is present in a module,"The J2EE application directly manages connections, instead of using the container's connection management facilities."
ACERT,CWE-246,CWE-246 (J2EE Bad Practices: Direct Use of Sockets) is present in a module,The J2EE application directly uses sockets instead of using framework method calls.
ACERT,CWE-248,CWE-248 (Uncaught Exception) is present in a module,"An exception is thrown from a function, but it is not caught."
ACERT,CWE-250,CWE-250 (Execution with Unnecessary Privileges) is present in a module,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses."
ACERT,CWE-252,CWE-252 (Unchecked Return Value) is present in a module,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions."
ACERT,CWE-253,CWE-253 (Incorrect Check of Function Return Value) is present in a module,"The software incorrectly checks a return value from a function, which prevents the software from detecting errors or exceptional conditions."
ACERT,CWE-256,CWE-256 (Plaintext Storage of a Password) is present in a module,Storing a password in plaintext may result in a system compromise.
ACERT,CWE-257,CWE-257 (Storing Passwords in a Recoverable Format) is present in a module,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts."
ACERT,CWE-258,CWE-258 (Empty Password in Configuration File) is present in a module,Using an empty string as a password is insecure.
ACERT,CWE-259,CWE-259 (Use of Hard-coded Password) is present in a module,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components."
ACERT,CWE-260,CWE-260 (Password in Configuration File) is present in a module,The software stores a password in a configuration file that might be accessible to actors who do not know the password.
ACERT,CWE-261,CWE-261 (Weak Encoding for Password) is present in a module,Obscuring a password with a trivial encoding does not protect the password.
ACERT,CWE-262,CWE-262 (Not Using Password Aging) is present in a module,"If no mechanism is in place for managing password aging, users will have no incentive to update passwords in a timely manner."
ACERT,CWE-263,CWE-263 (Password Aging with Long Expiration) is present in a module,Allowing password aging to occur unchecked can result in the possibility of diminished password integrity.
ACERT,CWE-266,CWE-266 (Incorrect Privilege Assignment) is present in a module,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor."
ACERT,CWE-267,CWE-267 (Privilege Defined With Unsafe Actions) is present in a module,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity."
ACERT,CWE-268,CWE-268 (Privilege Chaining) is present in a module,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination."
ACERT,CWE-269,CWE-269 (Improper Privilege Management) is present in a module,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor."
ACERT,CWE-270,CWE-270 (Privilege Context Switching Error) is present in a module,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.
ACERT,CWE-271,CWE-271 (Privilege Dropping / Lowering Errors) is present in a module,The software does not drop privileges before passing control of a resource to an actor that does not have those privileges.
ACERT,CWE-272,CWE-272 (Least Privilege Violation) is present in a module,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.
ACERT,CWE-273,CWE-273 (Improper Check for Dropped Privileges) is present in a module,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.
ACERT,CWE-274,CWE-274 (Improper Handling of Insufficient Privileges) is present in a module,"The software does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses."
ACERT,CWE-276,CWE-276 (Incorrect Default Permissions) is present in a module,"During installation, installed file permissions are set to allow anyone to modify those files."
ACERT,CWE-277,CWE-277 (Insecure Inherited Permissions) is present in a module,A product defines a set of insecure permissions that are inherited by objects that are created by the program.
ACERT,CWE-278,CWE-278 (Insecure Preserved Inherited Permissions) is present in a module,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement."
ACERT,CWE-279,CWE-279 (Incorrect Execution-Assigned Permissions) is present in a module,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user."
ACERT,CWE-280,CWE-280 (Improper Handling of Insufficient Permissions or Privileges ) is present in a module,The application does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the application in an invalid state.
ACERT,CWE-281,CWE-281 (Improper Preservation of Permissions) is present in a module,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended."
ACERT,CWE-282,CWE-282 (Improper Ownership Management) is present in a module,"The software assigns the wrong ownership, or does not properly verify the ownership, of an object or resource."
ACERT,CWE-283,CWE-283 (Unverified Ownership) is present in a module,The software does not properly verify that a critical resource is owned by the proper entity.
ACERT,CWE-284,CWE-284 (Improper Access Control) is present in a module,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor.
ACERT,CWE-285,CWE-285 (Improper Authorization) is present in a module,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.
ACERT,CWE-286,CWE-286 (Incorrect User Management) is present in a module,The software does not properly manage a user within its environment.
ACERT,CWE-287,CWE-287 (Improper Authentication) is present in a module,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct."
ACERT,CWE-288,CWE-288 (Authentication Bypass Using an Alternate Path or Channel) is present in a module,"A product requires authentication, but the product has an alternate path or channel that does not require authentication."
ACERT,CWE-289,CWE-289 (Authentication Bypass by Alternate Name) is present in a module,"The software performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor."
ACERT,CWE-290,CWE-290 (Authentication Bypass by Spoofing) is present in a module,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.
ACERT,CWE-291,CWE-291 (Reliance on IP Address for Authentication) is present in a module,The software uses an IP address for authentication.
ACERT,CWE-293,CWE-293 (Using Referer Field for Authentication) is present in a module,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking."
ACERT,CWE-294,CWE-294 (Authentication Bypass by Capture-replay) is present in a module,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).
ACERT,CWE-295,CWE-295 (Improper Certificate Validation) is present in a module,"The software does not validate, or incorrectly validates, a certificate."
ACERT,CWE-296,CWE-296 (Improper Following of a Certificate's Chain of Trust) is present in a module,"The software does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate."
ACERT,CWE-297,CWE-297 (Improper Validation of Certificate with Host Mismatch) is present in a module,"The software communicates with a host that provides a certificate, but the software does not properly ensure that the certificate is actually associated with that host."
ACERT,CWE-298,CWE-298 (Improper Validation of Certificate Expiration) is present in a module,"A certificate expiration is not validated or is incorrectly validated, so trust may be assigned to certificates that have been abandoned due to age."
ACERT,CWE-299,CWE-299 (Improper Check for Certificate Revocation) is present in a module,"The software does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised."
ACERT,CWE-300,CWE-300 (Channel Accessible by Non-Endpoint) is present in a module,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint."
ACERT,CWE-301,CWE-301 (Reflection Attack in an Authentication Protocol) is present in a module,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.
ACERT,CWE-302,CWE-302 (Authentication Bypass by Assumed-Immutable Data) is present in a module,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker."
ACERT,CWE-303,CWE-303 (Incorrect Implementation of Authentication Algorithm) is present in a module,"The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect."
ACERT,CWE-304,CWE-304 (Missing Critical Step in Authentication) is present in a module,"The software implements an authentication technique, but it skips a step that weakens the technique."
ACERT,CWE-305,CWE-305 (Authentication Bypass by Primary Weakness) is present in a module,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error."
ACERT,CWE-306,CWE-306 (Missing Authentication for Critical Function) is present in a module,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
ACERT,CWE-307,CWE-307 (Improper Restriction of Excessive Authentication Attempts) is present in a module,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks."
ACERT,CWE-308,CWE-308 (Use of Single-factor Authentication) is present in a module,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.
ACERT,CWE-309,CWE-309 (Use of Password System for Primary Authentication) is present in a module,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism."
ACERT,CWE-311,CWE-311 (Missing Encryption of Sensitive Data) is present in a module,The software does not encrypt sensitive or critical information before storage or transmission.
ACERT,CWE-312,CWE-312 (Cleartext Storage of Sensitive Information) is present in a module,The application stores sensitive information in cleartext within a resource that might be accessible to another control sphere.
ACERT,CWE-313,CWE-313 (Cleartext Storage in a File or on Disk) is present in a module,"The application stores sensitive information in cleartext in a file, or on disk."
ACERT,CWE-314,CWE-314 (Cleartext Storage in the Registry) is present in a module,The application stores sensitive information in cleartext in the registry.
ACERT,CWE-315,CWE-315 (Cleartext Storage of Sensitive Information in a Cookie) is present in a module,The application stores sensitive information in cleartext in a cookie.
ACERT,CWE-316,CWE-316 (Cleartext Storage of Sensitive Information in Memory) is present in a module,The application stores sensitive information in cleartext in memory.
ACERT,CWE-317,CWE-317 (Cleartext Storage of Sensitive Information in GUI) is present in a module,The application stores sensitive information in cleartext within the GUI.
ACERT,CWE-318,CWE-318 (Cleartext Storage of Sensitive Information in Executable) is present in a module,The application stores sensitive information in cleartext in an executable.
ACERT,CWE-319,CWE-319 (Cleartext Transmission of Sensitive Information) is present in a module,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.
ACERT,CWE-321,CWE-321 (Use of Hard-coded Cryptographic Key) is present in a module,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.
ACERT,CWE-322,CWE-322 (Key Exchange without Entity Authentication) is present in a module,The software performs a key exchange with an actor without verifying the identity of that actor.
ACERT,CWE-323,"CWE-323 (Reusing a Nonce, Key Pair in Encryption) is present in a module",Nonces should be used for the present occasion and only once.
ACERT,CWE-324,CWE-324 (Use of a Key Past its Expiration Date) is present in a module,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key."
ACERT,CWE-325,CWE-325 (Missing Cryptographic Step) is present in a module,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm."
ACERT,CWE-326,CWE-326 (Inadequate Encryption Strength) is present in a module,"The software stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required."
ACERT,CWE-327,CWE-327 (Use of a Broken or Risky Cryptographic Algorithm) is present in a module,The use of a broken or risky cryptographic algorithm is an unnecessary risk that may result in the exposure of sensitive information.
ACERT,CWE-328,CWE-328 (Use of Weak Hash) is present in a module,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack)."
ACERT,CWE-329,CWE-329 (Generation of Predictable IV with CBC Mode) is present in a module,"The product generates and uses a predictable initialization Vector (IV) with Cipher Block Chaining (CBC) Mode, which causes algorithms to be susceptible to dictionary attacks when they are encrypted under the same key."
ACERT,CWE-330,CWE-330 (Use of Insufficiently Random Values) is present in a module,The software uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.
ACERT,CWE-331,CWE-331 (Insufficient Entropy) is present in a module,"The software uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others."
ACERT,CWE-332,CWE-332 (Insufficient Entropy in PRNG) is present in a module,"The lack of entropy available for, or used by, a Pseudo-Random Number Generator (PRNG) can be a stability and security threat."
ACERT,CWE-333,CWE-333 (Improper Handling of Insufficient Entropy in TRNG) is present in a module,True random number generators (TRNG) generally have a limited source of entropy and therefore can fail or block.
ACERT,CWE-334,CWE-334 (Small Space of Random Values) is present in a module,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks."
ACERT,CWE-335,CWE-335 (Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG)) is present in a module,The software uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.
ACERT,CWE-336,CWE-336 (Same Seed in Pseudo-Random Number Generator (PRNG)) is present in a module,A Pseudo-Random Number Generator (PRNG) uses the same seed each time the product is initialized.
ACERT,CWE-337,CWE-337 (Predictable Seed in Pseudo-Random Number Generator (PRNG)) is present in a module,"A Pseudo-Random Number Generator (PRNG) is initialized from a predictable seed, such as the process ID or system time."
ACERT,CWE-338,CWE-338 (Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG)) is present in a module,"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong."
ACERT,CWE-339,CWE-339 (Small Seed Space in PRNG) is present in a module,"A Pseudo-Random Number Generator (PRNG) uses a relatively small seed space, which makes it more susceptible to brute force attacks."
ACERT,CWE-340,CWE-340 (Generation of Predictable Numbers or Identifiers) is present in a module,The product uses a scheme that generates numbers or identifiers that are more predictable than required.
ACERT,CWE-341,CWE-341 (Predictable from Observable State) is present in a module,"A number or object is predictable based on observations that the attacker can make about the state of the system or network, such as time, process ID, etc."
ACERT,CWE-342,CWE-342 (Predictable Exact Value from Previous Values) is present in a module,An exact value or random number can be precisely predicted by observing previous values.
ACERT,CWE-343,CWE-343 (Predictable Value Range from Previous Values) is present in a module,"The software's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated."
ACERT,CWE-344,CWE-344 (Use of Invariant Value in Dynamically Changing Context) is present in a module,"The product uses a constant value, name, or reference, but this value can (or should) vary across different environments."
ACERT,CWE-345,CWE-345 (Insufficient Verification of Data Authenticity) is present in a module,"The software does not sufficiently verify the origin or authenticity of data, in a way that causes it to accept invalid data."
ACERT,CWE-346,CWE-346 (Origin Validation Error) is present in a module,The software does not properly verify that the source of data or communication is valid.
ACERT,CWE-347,CWE-347 (Improper Verification of Cryptographic Signature) is present in a module,"The software does not verify, or incorrectly verifies, the cryptographic signature for data."
ACERT,CWE-348,CWE-348 (Use of Less Trusted Source) is present in a module,"The software has two different sources of the same data or information, but it uses the source that has less support for verification, is less trusted, or is less resistant to attack."
ACERT,CWE-349,CWE-349 (Acceptance of Extraneous Untrusted Data With Trusted Data) is present in a module,"The software, when processing trusted data, accepts any untrusted data that is also included with the trusted data, treating the untrusted data as if it were trusted."
ACERT,CWE-350,CWE-350 (Reliance on Reverse DNS Resolution for a Security-Critical Action) is present in a module,"The software performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname."
ACERT,CWE-351,CWE-351 (Insufficient Type Distinction) is present in a module,The software does not properly distinguish between different types of elements in a way that leads to insecure behavior.
ACERT,CWE-352,CWE-352 (Cross-Site Request Forgery (CSRF)) is present in a module,"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request."
ACERT,CWE-353,CWE-353 (Missing Support for Integrity Check) is present in a module,"The software uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum."
ACERT,CWE-354,CWE-354 (Improper Validation of Integrity Check Value) is present in a module,The software does not validate or incorrectly validates the integrity check values or checksums of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.
ACERT,CWE-356,CWE-356 (Product UI does not Warn User of Unsafe Actions) is present in a module,The software's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.
ACERT,CWE-357,CWE-357 (Insufficient UI Warning of Dangerous Operations) is present in a module,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention."
ACERT,CWE-358,CWE-358 (Improperly Implemented Security Check for Standard) is present in a module,"The software does not implement or incorrectly implements one or more security-relevant checks as specified by the design of a standardized algorithm, protocol, or technique."
ACERT,CWE-359,CWE-359 (Exposure of Private Personal Information to an Unauthorized Actor) is present in a module,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected."
ACERT,CWE-360,CWE-360 (Trust of System Event Data) is present in a module,Security based on event locations are insecure and can be spoofed.
ACERT,CWE-362,CWE-362 (Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')) is present in a module,"The program contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently."
ACERT,CWE-363,CWE-363 (Race Condition Enabling Link Following) is present in a module,"The software checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the software to access the wrong file."
ACERT,CWE-364,CWE-364 (Signal Handler Race Condition) is present in a module,The software uses a signal handler that introduces a race condition.
ACERT,CWE-365,CWE-365 (Race Condition in Switch) is present in a module,"The code contains a switch statement in which the switched variable can be modified while the switch is still executing, resulting in unexpected behavior."
ACERT,CWE-366,CWE-366 (Race Condition within a Thread) is present in a module,"If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined."
ACERT,CWE-367,CWE-367 (Time-of-check Time-of-use (TOCTOU) Race Condition) is present in a module,"The software checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the software to perform invalid actions when the resource is in an unexpected state."
ACERT,CWE-368,CWE-368 (Context Switching Race Condition) is present in a module,"A product performs a series of non-atomic actions to switch between contexts that cross privilege or other security boundaries, but a race condition allows an attacker to modify or misrepresent the product's behavior during the switch."
ACERT,CWE-369,CWE-369 (Divide By Zero) is present in a module,The product divides a value by zero.
ACERT,CWE-370,CWE-370 (Missing Check for Certificate Revocation after Initial Check) is present in a module,"The software does not check the revocation status of a certificate after its initial revocation check, which can cause the software to perform privileged actions even after the certificate is revoked at a later time."
ACERT,CWE-372,CWE-372 (Incomplete Internal State Distinction) is present in a module,"The software does not properly determine which state it is in, causing it to assume it is in state X when in fact it is in state Y, causing it to perform incorrect operations in a security-relevant manner."
ACERT,CWE-374,CWE-374 (Passing Mutable Objects to an Untrusted Method) is present in a module,The program sends non-cloned mutable data as an argument to a method or function.
ACERT,CWE-375,CWE-375 (Returning a Mutable Object to an Untrusted Caller) is present in a module,Sending non-cloned mutable data as a return value may result in that data being altered or deleted by the calling function.
ACERT,CWE-377,CWE-377 (Insecure Temporary File) is present in a module,Creating and using insecure temporary files can leave application and system data vulnerable to attack.
ACERT,CWE-378,CWE-378 (Creation of Temporary File With Insecure Permissions) is present in a module,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack."
ACERT,CWE-379,CWE-379 (Creation of Temporary File in Directory with Insecure Permissions) is present in a module,The software creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.
ACERT,CWE-382,CWE-382 (J2EE Bad Practices: Use of System.exit()) is present in a module,"A J2EE application uses System.exit(), which also shuts down its container."
ACERT,CWE-383,CWE-383 (J2EE Bad Practices: Direct Use of Threads) is present in a module,Thread management in a Web application is forbidden in some circumstances and is always highly error prone.
ACERT,CWE-384,CWE-384 (Session Fixation) is present in a module,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions."
ACERT,CWE-385,CWE-385 (Covert Timing Channel) is present in a module,"Covert timing channels convey information by modulating some aspect of system behavior over time, so that the program receiving the information can observe system behavior and infer protected information."
ACERT,CWE-386,CWE-386 (Symbolic Name not Mapping to Correct Object) is present in a module,"A constant symbolic reference to an object is used, even though the reference can resolve to a different object over time."
ACERT,CWE-390,CWE-390 (Detection of Error Condition Without Action) is present in a module,"The software detects a specific error, but takes no actions to handle the error."
ACERT,CWE-391,CWE-391 (Unchecked Error Condition) is present in a module,"[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES AND CONSIDER CWE-252, CWE-248, OR CWE-1069.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed."
ACERT,CWE-392,CWE-392 (Missing Report of Error Condition) is present in a module,The software encounters an error but does not provide a status code or return value to indicate that an error has occurred.
ACERT,CWE-393,CWE-393 (Return of Wrong Status Code) is present in a module,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result."
ACERT,CWE-394,CWE-394 (Unexpected Status Code or Return Value) is present in a module,"The software does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the software."
ACERT,CWE-395,CWE-395 (Use of NullPointerException Catch to Detect NULL Pointer Dereference) is present in a module,Catching NullPointerException should not be used as an alternative to programmatic checks to prevent dereferencing a null pointer.
ACERT,CWE-396,CWE-396 (Declaration of Catch for Generic Exception) is present in a module,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.
ACERT,CWE-397,CWE-397 (Declaration of Throws for Generic Exception) is present in a module,Throwing overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.
ACERT,CWE-400,CWE-400 (Uncontrolled Resource Consumption) is present in a module,"The software does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources."
ACERT,CWE-401,CWE-401 (Missing Release of Memory after Effective Lifetime) is present in a module,"The software does not sufficiently track and release allocated memory after it has been used, which slowly consumes remaining memory."
ACERT,CWE-402,CWE-402 (Transmission of Private Resources into a New Sphere ('Resource Leak')) is present in a module,The software makes resources available to untrusted parties when those resources are only intended to be accessed by the software.
ACERT,CWE-403,CWE-403 (Exposure of File Descriptor to Unintended Control Sphere ('File Descriptor Leak')) is present in a module,"A process does not close sensitive file descriptors before invoking a child process, which allows the child to perform unauthorized I/O operations using those descriptors."
ACERT,CWE-404,CWE-404 (Improper Resource Shutdown or Release) is present in a module,The program does not release or incorrectly releases a resource before it is made available for re-use.
ACERT,CWE-405,CWE-405 (Asymmetric Resource Consumption (Amplification)) is present in a module,Software that does not appropriately monitor or control resource consumption can lead to adverse system performance.
ACERT,CWE-406,CWE-406 (Insufficient Control of Network Message Volume (Network Amplification)) is present in a module,"The software does not sufficiently monitor or control transmitted network traffic volume, so that an actor can cause the software to transmit more traffic than should be allowed for that actor."
ACERT,CWE-407,CWE-407 (Inefficient Algorithmic Complexity) is present in a module,"An algorithm in a product has an inefficient worst-case computational complexity that may be detrimental to system performance and can be triggered by an attacker, typically using crafted manipulations that ensure that the worst case is being reached."
ACERT,CWE-408,CWE-408 (Incorrect Behavior Order: Early Amplification) is present in a module,The software allows an entity to perform a legitimate but expensive operation before authentication or authorization has taken place.
ACERT,CWE-409,CWE-409 (Improper Handling of Highly Compressed Data (Data Amplification)) is present in a module,The software does not handle or incorrectly handles a compressed input with a very high compression ratio that produces a large output.
ACERT,CWE-410,CWE-410 (Insufficient Resource Pool) is present in a module,"The software's resource pool is not large enough to handle peak demand, which allows an attacker to prevent others from accessing the resource by using a (relatively) large number of requests for resources."
ACERT,CWE-412,CWE-412 (Unrestricted Externally Accessible Lock) is present in a module,"The software properly checks for the existence of a lock, but the lock can be externally controlled or influenced by an actor that is outside of the intended sphere of control."
ACERT,CWE-413,CWE-413 (Improper Resource Locking) is present in a module,The software does not lock or does not correctly lock a resource when the software must have exclusive access to the resource.
ACERT,CWE-414,CWE-414 (Missing Lock Check) is present in a module,A product does not check to see if a lock is present before performing sensitive operations on a resource.
ACERT,CWE-415,CWE-415 (Double Free) is present in a module,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations."
ACERT,CWE-416,CWE-416 (Use After Free) is present in a module,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
ACERT,CWE-419,CWE-419 (Unprotected Primary Channel) is present in a module,"The software uses a primary channel for administration or restricted functionality, but it does not properly protect the channel."
ACERT,CWE-420,CWE-420 (Unprotected Alternate Channel) is present in a module,"The software protects a primary channel, but it does not use the same level of protection for an alternate channel."
ACERT,CWE-421,CWE-421 (Race Condition During Access to Alternate Channel) is present in a module,"The product opens an alternate channel to communicate with an authorized user, but the channel is accessible to other actors."
ACERT,CWE-422,CWE-422 (Unprotected Windows Messaging Channel ('Shatter')) is present in a module,"The software does not properly verify the source of a message in the Windows Messaging System while running at elevated privileges, creating an alternate channel through which an attacker can directly send a message to the product."
ACERT,CWE-424,CWE-424 (Improper Protection of Alternate Path) is present in a module,The product does not sufficiently protect all possible paths that a user can take to access restricted functionality or resources.
ACERT,CWE-425,CWE-425 (Direct Request ('Forced Browsing')) is present in a module,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files."
ACERT,CWE-426,CWE-426 (Untrusted Search Path) is present in a module,The application searches for critical resources using an externally-supplied search path that can point to resources that are not under the application's direct control.
